id,properties_name,address,latitude,longitude,no_of_stations,no_of_hawkers,no_of_supermarkets,no_of_schools,no_of_preschools,no_of_parks,no_of_malls,price,size,no_of_bedrooms,no_of_bathrooms,property_type,year_of_built,leasing,plot ratio,rental,subdistrict
1,Matlock Residences,Matlock Rise,1.347439719,103.863621,0,0,0,0,3,3,0,3380000,5536,6,6,Bungalow House,0,Freehold,0,0, 
2,Mandai Garden - 28 Meng Suan Road,Meng Suan Road,1.403522609,103.8137723,0,0,0,0,1,1,0,4380000,3922,5,5,Corner Terrace,2017,999-year Leasehold,0,0, 
3,The Quartz,55 Compassvale Bow,1.381050737,103.8938843,1,0,3,0,5,0,0,1300000,1151,3,3,Condominium,2010,99-year Leasehold,3,2.42,COMPASSVALE
4,204 Tampines Street 21,204 Tampines Street 21,1.352179847,103.9516954,3,0,4,0,5,0,0,430000,872,2,2,HDB Flat,1982,99-year Leasehold,0,0, 
5,336D Anchorvale Crescent,336D Anchorvale Crescent,1.397769025,103.8882359,0,0,3,0,5,1,0,540888,1022,3,2,HDB Flat,2014,99-year Leasehold,0,0, 
6,120 Simei Street 1,120 Simei Street 1,1.344715541,103.9530201,1,0,2,0,5,2,1,650000,1378,4,2,HDB Flat,1987,99-year Leasehold,0,0, 
7,"Charming Greenwood Semi Detached, Freehold, Wide Frontage, Near Amenities",Greenwood Avenue,1.333130558,103.8052481,0,0,4,0,2,5,0,6600000,3000,4,3,Semi-Detached House,0,Freehold,0,0, 
8,Southbank,881 North Bridge Road,1.306311852,103.8643085,2,2,5,0,5,4,2,1880000,958,2,2,Condominium,2009,99-year Leasehold,0,4.31,CRAWFORD
9,Principal Garden,91 Prince Charles Crescent,1.292938994,103.8216931,0,0,0,0,1,0,0,1500000,807,2,2,Condominium,2019,99-year Leasehold,2.100038855,5.05,ALEXANDRA NORTH
10,116B Jalan Tenteram,116B Jalan Tenteram,1.32754908,103.8608074,0,0,0,0,2,1,0,749000,1001,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
11,Sunhaven,781 Upper Changi Road East,1.348139387,103.9620849,1,0,0,0,0,4,0,1398000,1291,3,3,Condominium,2003,Freehold,1.6,2.21,SIMEI
12,11 1 LiveTour,Upper Changi Road North,1.356327332,103.9689387,0,0,0,0,0,2,0,4400000,3953,7,7,Semi-Detached House,0,2m,0,0, 
13,Euhabitat,222 Jalan Eunos,1.327251959,103.9068263,0,2,3,0,4,0,0,688000,528,1,1,Condominium,2015,99-year Leasehold,1.400007755,3.64,KAKI BUKIT
14,Mera Gardens,62 Almond Crescent,1.372067466,103.773792,0,1,1,0,4,4,0,1980000,2800,5,4,Detached House,1998,99-year Leasehold,0,0, 
15,The Jovell,13 Flora Drive,1.358004544,103.9657254,0,0,0,0,0,3,0,1050000,904,3,2,Condominium,0,99-year Leasehold,1.538842293,0,FLORA DRIVE
16,The Jovell,13 Flora Drive,1.358004544,103.9657254,0,0,0,0,0,3,0,820000,645,2,2,Condominium,0,99-year Leasehold,1.538842293,0,FLORA DRIVE
17,Hyll on Holland,93 Holland Road,1.310259641,103.8023758,0,2,0,0,3,0,0,1810700,700,2,2,Condominium,0,Freehold,1.935864042,0,LEEDON PARK
18,43A West Coast Road,43A West coast road,1.29521191,103.7664116,0,0,0,0,3,1,0,11980000,4600,6,6,Bungalow House,0,Freehold,0,0, 
19,Parc Clematis,2 Jalan Lempeng,1.317106451,103.7589473,0,0,0,0,4,4,0,2016000,1238,4,3,Condominium,0,99-year Leasehold,2.31,0,FABER
20,The Topiary,19 Fernvale Lane,1.387998064,103.8721261,0,0,2,0,5,4,2,950000,904,3,2,Executive Condominium,2016,99-year Leasehold,3.5,0,FERNVALE
21,61A Strathmore Avenue,61A Strathmore Avenue,1.293860989,103.8115839,2,0,2,0,5,0,0,848000,1033,3,2,HDB Flat,2010,99-year Leasehold,0,0, 
22,439B Sengkang West Avenue,439B Sengkang West Avenue,1.391976539,103.8783098,0,0,3,0,5,0,1,470000,1012,3,2,HDB Flat,2009,99-year Leasehold,0,0, 
23,The Hillier,6 Hillview Rise,1.363033894,103.7641285,1,0,2,0,4,2,2,860000,560,1,1,Condominium,2016,99-year Leasehold,2.80006716,3.64,HILLVIEW
24,The Hillier,2 Hillview Rise,1.363932031,103.7645836,1,0,2,0,4,1,2,830000,624,1,1,Condominium,2016,99-year Leasehold,2.80006716,3.64,HILLVIEW
25,101A SUNSET WAY,Sunset Way,1.327703233,103.7647963,0,0,0,0,1,3,0,9500000,4000,5,4,Detached House,0,Freehold,0,0, 
26,Mayfair Gardens,8 Rifle Range Road,1.338222486,103.781376,1,1,4,0,4,2,2,2148000,1109,3,2,Condominium,0,99-year Leasehold,1.539999815,0,SWISS CLUB
27,Leedon Green,26 Leedon Heights,1.313566141,103.803218,1,1,0,0,2,0,0,1428000,538,2,1,Condominium,0,Freehold,1.759999868,0,FARRER COURT
28,Imperial Heights,16 Ipoh Lane,1.311455375,103.8951696,3,4,5,0,5,3,3,835000,581,2,1,Apartment,2009,Freehold,2.8,3.72,GEYLANG EAST
29,Mayfair Gardens,8 Rifle Range Road,1.338222486,103.781376,1,1,4,0,4,2,2,2484000,1216,4,3,Condominium,0,99-year Leasehold,1.539999815,0,SWISS CLUB
30,Wilshire Residences,30 Farrer Road,1.313061613,103.8046476,1,1,0,0,4,1,0,1550000,646,2,1,Condominium,0,Freehold,1.807848046,0,TYERSALL
31,Juniper Hill,39 Ewe Boon Road,1.316482034,103.8298972,1,0,1,0,3,1,0,1488000,592,2,1,Condominium,0,Freehold,1.785598861,0,NASSIM
32,30 Telok Blangah Rise,30 Telok Blangah Rise,1.272985283,103.820252,0,2,2,0,5,1,0,330000,635,2,2,HDB Flat,1975,99-year Leasehold,0,0, 
33,Meyer Mansion,79 Meyer Road,1.296472195,103.8910346,0,0,0,0,5,5,0,2678000,1109,3,2,Condominium,0,Freehold,3.079999747,0,MOUNTBATTEN
34,4B Boon Tiong Road,4B Boon Tiong Road,1.286588783,103.8319503,1,4,5,0,5,2,1,845000,1076,3,2,HDB Flat,2003,99-year Leasehold,0,0, 
35,Urban Treasures,205 Jalan Eunos,1.329367202,103.9057913,1,0,1,0,5,0,0,2200000,1270,4,3,Condominium,0,Freehold,1.759837771,0,KAKI BUKIT
36,Urban Treasures,205 Jalan Eunos,1.329367202,103.9057913,1,0,1,0,5,0,0,1558000,883,3,2,Condominium,0,Freehold,1.759837771,0,KAKI BUKIT
37,Midtown Modern,16 Tan Quee Lan Street,1.298505223,103.8570884,5,1,4,0,5,2,5,3582000,1432,4,4,Condominium,0,99-year Leasehold,4.200055504,0,BUGIS
38,Midtown Modern,16 Tan Quee Lan Street,1.298505223,103.8570884,5,1,4,0,5,2,5,2198000,904,3,2,Condominium,0,99-year Leasehold,4.200055504,0,BUGIS
39,Meyer Mansion,79 Meyer Road,1.296472195,103.8910346,0,0,0,0,5,5,0,4288000,1722,4,3,Condominium,0,Freehold,3.079999747,0,MOUNTBATTEN
40,Meyer Mansion,79 Meyer Road,1.296472195,103.8910346,0,0,0,0,5,5,0,1786000,689,2,1,Condominium,0,Freehold,3.079999747,0,MOUNTBATTEN
41,Austville Residences,11 Sengkang East Avenue,1.380965756,103.9008203,0,0,3,0,5,0,1,1080000,1109,2,2,Executive Condominium,2014,99-year Leasehold,3,0,RIVERVALE
42,Eco Sanctuary,63 Chestnut Avenue,1.370836586,103.7761764,0,0,1,0,3,2,0,920000,700,2,2,Condominium,2016,99-year Leasehold,2.100013904,3.09,BANGKIT
43,310C Punggol Walk,310C Punggol Walk,1.409710961,103.8998984,0,0,2,0,5,1,1,690000,1205,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
44,268B Compassvale Link,268B Compassvale Link,1.384455569,103.8962528,1,0,5,0,5,0,1,515000,968,3,2,HDB Flat,2004,99-year Leasehold,0,0, 
45,Treasure Mansions,15 Rosyth Avenue,1.361558583,103.8776292,0,0,0,0,5,3,0,890000,754,2,2,Apartment,2006,Freehold,1.4,0,KOVAN
46,641A Punggol Drive,641A Punggol Drive,1.398554823,103.9170016,0,0,5,0,5,1,2,515000,1194,3,2,HDB Flat,2003,99-year Leasehold,0,0, 
47,665B Punggol Drive,665B Punggol Drive,1.402040572,103.9141411,0,0,5,0,5,1,1,598000,1216,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
48,Serangoon Garden Estate,Raglan Grove,1.36445992,103.8691356,0,2,1,0,1,4,1,6000000,6000,6,7,Bungalow House,0,999-year Leasehold,0,0, 
49,620 Hougang Avenue 8,620 Hougang Avenue 8,1.370144007,103.8839681,0,1,3,0,5,4,0,305000,645,2,1,HDB Flat,1985,99-year Leasehold,0,0, 
50,Riversails,4 Upper Serangoon Crescent,1.378033392,103.9024815,0,0,1,0,5,0,0,2450000,2400,3,4,Condominium,2016,99-year Leasehold,3.5,2.54,HOUGANG EAST
51,FORETT@BUKIT TIMAH,32 Toh Tuck Road,1.339908539,103.7675232,0,0,1,0,3,3,0,1690000,947,3,2,Condominium,0,Freehold,1.54000006,0,ANAK BUKIT
52,Midwood,8 Hillview Rise,1.362862088,103.7634339,1,0,2,0,5,2,2,1900000,1249,4,3,Condominium,0,99-year Leasehold,2.800064353,0,HILLVIEW
53,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,1888888,1195,4,3,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
54,Midwood,8 Hillview Rise,1.362862088,103.7634339,1,0,2,0,5,2,2,1200000,775,3,2,Condominium,0,99-year Leasehold,2.800064353,0,HILLVIEW
55,Commonwealth Towers,232 Commonwealth Avenue,1.295463429,103.8065158,1,1,2,0,5,0,0,1528000,797,2,2,Condominium,2017,99-year Leasehold,4.9,5.16,MARGARET DRIVE
56,Cavan Suites,11 Cavan Road,1.310998559,103.8611552,2,2,5,0,5,2,4,625000,344,1,1,Apartment,2013,Freehold,3,4.95,LAVENDER
57,278A Compassvale Bow,278A Compassvale Bow,1.381880822,103.8902955,1,0,2,0,4,0,1,728000,1216,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
58,Riversails,20 Upper Serangoon Crescent,1.378852702,103.9024802,0,0,1,0,4,0,0,1108888,947,2,2,Condominium,2016,99-year Leasehold,3.5,2.54,HOUGANG EAST
59,Watercolours,35 Pasir Ris Link,1.376711144,103.9599263,0,0,1,0,5,0,1,928000,958,3,2,Executive Condominium,2016,99-year Leasehold,2.1,0,PASIR RIS PARK
60,Daintree Residence,11A Toh Tuck Road,1.340000986,103.7708699,1,1,3,0,5,5,2,2061400,1249,3,2,Apartment,0,99-year Leasehold,1.400002137,0,ANAK BUKIT
61,The Clearwater,12 Bedok Reservoir View,1.337400939,103.9346985,1,0,0,0,2,1,0,1390000,1454,3,2,Condominium,2002,99-year Leasehold,2.100000073,2.55,BEDOK RESERVOIR
62,Robin Residences,3 Robin Drive,1.318783631,103.8282067,1,0,1,0,4,2,0,1450000,538,2,1,Condominium,2016,Freehold,1.4,4.74,NASSIM
63,Merryn road,Merryn road,1.327524838,103.8220722,0,0,0,0,0,0,0,12800000,8711,5,6,Detached House,0,Freehold,0,0, 
64,??????D19?????? Serangoon Garden Estate,Burghley drive,1.358213683,103.8627834,0,2,0,0,4,5,0,5800000,4820,5,6,Semi-Detached House,0,999-year Leasehold,0,0, 
65,De Lente,Farrer Road,1.317439152,103.8073792,1,1,0,0,4,1,0,1300000,742,2,2,Apartment,2004,Freehold,1.4,0,FARRER COURT
66,Symphony Suites,21 Yishun Close,1.435759355,103.844351,0,0,4,0,5,0,1,830000,689,2,2,Condominium,0,99-year Leasehold,2.800017515,2.84,YISHUN EAST
67,217B Sumang Walk,217B Sumang Walk,1.402401614,103.894935,0,0,3,0,5,0,0,668000,1206,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
68,Kingsford Waterbay,68 Upper Serangoon View,1.373777671,103.9029702,0,0,1,0,1,0,0,888000,689,2,2,Condominium,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
69,6 Marine Terrace,6 Marine Terrace,1.303785442,103.9164953,0,2,1,0,4,1,0,388000,700,2,1,HDB Flat,1974,99-year Leasehold,0,0, 
70,Wilshire Residences,30 Farrer Road,1.313061613,103.8046476,1,1,0,0,4,1,0,1549750,646,2,2,Condominium,0,Freehold,1.807848046,0,TYERSALL
