propid,userid,rating
1533,1,3
1833,1,3
5853,1,4
9427,1,3
1548,1,2
6376,1,5
6469,1,2
7359,1,4
8692,1,2
3770,1,1
8957,1,2
4430,1,1
5910,1,4
6149,1,1
2066,1,4
1644,2,5
3003,2,3
8068,2,2
7796,2,2
5074,2,2
136,2,4
3223,2,4
4840,2,2
5852,2,3
9255,2,4
2187,2,5
4153,2,4
358,2,5
691,2,1
1397,2,3
3882,2,4
3098,2,1
6735,3,1
6962,3,4
4594,3,4
4993,3,4
7979,3,2
2245,3,1
5107,3,3
5443,3,1
5855,3,1
6337,3,5
8546,3,4
38,3,3
2127,3,2
2843,3,2
3499,3,1
4256,3,1
1910,3,3
6639,3,5
9801,3,5
4676,3,3
4105,3,2
9151,3,5
5529,4,5
5892,4,1
5544,4,4
7514,4,3
7895,4,4
2106,4,1
3930,4,5
5120,4,1
744,4,2
765,4,5
689,4,2
7502,4,4
7662,4,1
9538,4,1
1155,4,3
3687,4,3
7337,4,3
6537,4,4
8624,4,5
4413,4,1
6027,4,5
1868,4,5
2251,4,1
578,4,2
1209,4,3
2015,4,4
4796,4,2
5177,5,4
6000,5,4
9270,5,4
1242,5,4
3807,5,2
4505,5,5
1965,5,4
3512,5,1
7601,5,5
2042,5,4
3916,5,1
6104,5,2
5374,5,4
2712,5,1
3544,5,4
3883,5,1
5761,5,2
4481,5,2
6967,5,4
2101,5,1
4235,5,2
9411,5,1
247,5,3
1795,5,2
3726,5,1
6088,5,4
2318,6,1
4575,6,4
5328,6,1
8113,6,3
6901,6,3
679,6,1
9979,6,4
3252,6,3
4492,6,2
5783,6,5
3524,6,1
6784,6,3
8352,6,1
167,6,2
1960,6,2
3186,6,4
1590,6,3
5070,7,2
307,7,5
8280,7,3
9735,7,3
9297,7,2
962,7,5
1537,7,3
5131,7,4
7343,7,1
249,7,2
2329,7,4
5468,7,2
7492,7,4
2640,7,2
3176,7,3
6672,7,2
9289,7,1
4000,7,5
629,7,4
5379,7,5
1893,7,4
1472,8,4
9685,8,3
2855,8,2
3403,8,2
4590,8,3
4635,8,4
9635,8,3
6275,8,4
8603,8,3
6319,8,2
2429,8,4
5615,8,3
5918,8,4
6240,8,2
4323,8,2
5541,8,3
9115,8,2
9267,8,1
1440,8,1
3305,8,5
6524,8,3
8858,8,3
3287,8,3
9123,8,2
7237,8,3
1027,9,4
5176,9,5
7111,9,3
8978,9,1
419,9,2
3327,9,2
8678,9,4
3909,9,1
4209,9,3
4047,9,3
4600,9,3
5290,9,4
9302,9,5
9935,9,5
391,9,5
7495,9,4
7888,9,4
8321,9,3
6026,9,4
8790,9,2
6498,9,2
8556,9,5
3280,9,3
7594,9,1
2372,9,4
8057,9,1
7307,10,5
8603,10,1
5546,10,5
5744,10,3
5811,10,5
6304,10,2
5553,10,3
2772,10,2
5393,10,2
8169,10,2
2814,10,5
8247,10,2
9175,10,3
9536,10,3
4203,10,4
8339,10,2
9525,10,1
2750,10,3
4484,10,2
1036,11,2
1818,11,1
2422,11,2
6297,11,5
7735,11,2
7946,11,1
4025,11,4
4744,11,4
1668,11,5
1866,11,3
4273,11,3
1627,11,4
3510,11,5
7473,11,3
1535,11,3
1672,11,4
2017,11,2
4320,11,2
8264,11,5
585,11,2
5266,11,1
518,11,3
1431,11,2
5713,11,1
6145,11,1
7717,12,2
2093,12,1
2354,12,2
2540,12,4
8481,12,2
8503,12,4
238,12,1
8710,12,4
549,12,3
2801,12,5
7465,12,2
7756,12,3
9654,12,2
3195,12,1
893,12,2
5048,12,2
6090,12,3
3559,12,5
4257,12,2
5281,12,5
4005,13,2
3077,13,3
5800,13,4
8355,13,4
2427,13,2
9889,13,2
9886,13,3
3776,13,3
4426,13,1
5904,13,2
737,13,5
2236,13,3
3218,13,3
9627,13,3
5092,13,3
7409,13,5
4309,13,3
7503,13,1
5585,14,1
2167,14,1
3500,14,3
6464,14,3
6519,14,2
8033,14,3
7678,14,1
8699,14,4
1379,14,2
5488,14,2
6390,14,3
1121,14,4
4592,14,5
942,14,2
1541,14,3
2912,14,3
579,14,4
4071,14,1
5425,14,4
2244,15,2
4524,15,1
5189,15,1
2658,15,5
4632,15,4
1064,15,1
5682,15,3
6041,15,4
1558,15,4
3268,15,4
2117,15,1
1893,15,2
4241,15,5
969,15,1
2381,15,4
8519,15,4
3396,15,2
5088,15,5
5526,15,4
7990,15,1
546,15,5
543,16,5
9298,16,2
4749,16,5
6953,16,4
8891,16,3
2014,16,5
3070,16,2
3922,16,1
7358,16,4
8830,16,2
3098,16,3
7592,16,3
1690,16,2
336,16,4
6888,16,4
6852,16,2
9449,16,3
5771,16,2
7449,16,1
8301,16,4
9263,16,5
448,17,4
5138,17,5
6059,17,3
212,17,5
1214,17,4
4587,17,2
8233,17,2
1585,17,5
7536,17,3
1730,17,4
4368,17,3
4857,17,2
3503,17,5
409,17,3
1470,17,2
4269,17,5
8780,17,1
6658,17,2
3759,17,4
5749,17,2
9877,17,5
2213,17,3
6352,17,3
6582,17,3
6522,18,2
1453,18,2
3716,18,3
7431,18,2
3631,18,4
6751,18,3
9138,18,5
3276,18,3
4868,18,4
7625,18,3
8015,18,2
6569,18,4
4681,18,3
4892,18,4
7143,18,3
7663,18,2
8887,18,4
645,19,3
3792,19,4
3392,19,3
5489,19,2
6523,19,5
3984,19,2
56,19,5
1871,19,4
8430,19,5
8449,19,1
2569,19,1
7923,19,3
9986,19,4
9772,19,2
5027,19,2
7155,19,2
7287,19,3
4275,19,1
6272,19,4
3197,19,2
1530,20,1
4401,20,3
6651,20,4
2824,20,2
4019,20,3
6586,20,3
2054,20,2
3152,20,2
5832,20,4
6618,20,2
4233,20,5
6104,20,5
9862,20,4
4286,20,4
7175,20,4
6811,20,4
1522,20,1
4965,20,1
6679,20,4
2176,20,1
2271,20,3
3840,20,4
7876,20,3
9739,20,3
253,20,2
1694,20,2
6723,20,3
7190,20,3
1343,21,5
4607,21,2
3442,21,3
9012,21,2
9439,21,1
9956,21,3
7879,21,2
8743,21,4
7854,21,2
8097,21,3
1932,21,3
9290,21,3
3298,21,1
661,21,3
1400,21,4
360,21,1
832,21,3
203,21,2
2600,21,2
1284,22,3
4045,22,2
5643,22,4
5953,22,3
5403,22,4
6288,22,4
8278,22,1
8794,22,3
8991,22,2
511,22,4
3311,22,3
5185,22,3
670,22,2
3670,22,3
1873,22,3
5420,22,3
275,22,5
3595,22,2
7396,22,3
3815,22,4
8601,22,3
796,22,3
1978,22,3
4655,22,4
875,23,4
9294,23,1
5198,23,4
9381,23,4
7823,23,2
7215,23,1
7337,23,4
9897,23,4
2091,23,1
2875,23,1
5789,23,2
4954,23,4
296,23,4
2196,23,2
2479,23,2
2885,23,1
1153,24,3
7124,24,4
836,24,4
2431,24,4
4944,24,2
9101,24,1
3748,24,4
8111,24,4
8571,24,3
9982,24,3
2908,24,5
3782,24,5
7280,24,4
2198,24,4
9464,24,1
7408,24,2
7040,24,5
7523,24,1
8144,24,4
8354,24,4
1029,24,2
1185,24,3
2863,24,3
3869,24,4
3550,25,2
7367,25,4
7324,25,5
9349,25,4
9778,25,4
4813,25,1
283,25,2
2040,25,1
2684,25,3
3345,25,4
5791,25,3
3748,25,4
5587,25,3
9491,25,5
6893,25,2
9380,25,2
2118,26,4
2308,26,1
7234,26,4
7596,26,3
3554,26,4
4036,26,2
4762,26,5
199,26,2
1147,26,4
3790,26,2
5139,26,4
9841,26,2
189,26,2
3483,26,3
4300,26,3
7629,26,5
7722,26,2
2293,26,4
6122,26,3
8390,26,3
3250,26,1
9209,26,3
3268,26,1
2355,26,4
7863,26,2
2473,26,2
3290,26,3
6046,27,3
8627,27,3
1816,27,4
3679,27,3
8754,27,2
9430,27,2
4563,27,5
4398,27,4
6817,27,4
3166,27,2
3295,27,3
9911,27,2
2602,27,3
8864,27,3
1420,27,3
3393,27,5
6011,27,5
4878,27,3
9883,27,5
6150,27,4
1984,28,4
4668,28,2
8002,28,3
3791,28,4
4562,28,4
7942,28,3
9109,28,2
9388,28,2
8443,28,5
8975,28,3
3742,28,3
5824,28,2
8059,28,2
5162,28,2
6851,28,3
8745,28,3
6007,28,3
4850,28,4
9535,28,3
8751,28,2
6291,29,2
8943,29,5
9118,29,2
5973,29,4
3688,29,2
5116,29,3
2150,29,2
8391,29,5
9175,29,5
3023,29,2
983,29,4
1039,29,3
1299,29,4
1553,29,2
7708,29,3
5210,29,3
8001,29,4
5752,29,4
6175,29,2
14,30,2
4957,30,4
9278,30,1
8229,30,5
2239,30,2
2069,30,3
2504,30,4
4709,30,5
8637,30,5
1184,30,5
2957,30,4
4520,30,4
116,30,1
900,30,5
5511,30,1
1158,30,5
5675,30,1
5153,31,2
5901,31,3
361,31,2
1119,31,1
1080,31,5
2866,31,5
4823,31,5
8747,31,3
7126,31,3
9799,31,4
8848,31,1
22,31,2
2144,31,4
6554,31,3
8471,31,3
2373,32,3
3316,32,2
5124,32,5
7653,32,4
7035,32,3
4842,32,3
4603,32,5
5979,32,5
3560,32,5
5417,32,3
6895,32,2
5039,32,1
7629,32,3
947,32,5
5331,32,4
7119,32,2
83,32,2
2486,32,3
2921,32,3
3571,32,2
1591,33,2
1998,33,4
4779,33,2
1496,33,2
8397,33,2
1460,33,2
1912,33,4
1244,33,3
6477,33,2
8238,33,4
4057,33,4
6,33,4
1624,33,5
2333,33,3
6606,33,4
163,33,4
3503,33,2
8587,33,2
1264,33,5
4301,33,4
2283,34,2
4200,34,3
5051,34,2
2596,34,2
6829,34,3
1452,34,3
5311,34,2
5520,34,4
4239,34,4
6235,34,3
7040,34,3
7897,34,3
3650,34,3
6478,34,3
2932,34,2
4302,34,5
3295,34,3
685,34,3
2106,34,5
1930,35,4
3389,35,3
6932,35,1
4275,35,3
9712,35,4
1531,35,5
5061,35,3
3385,35,2
1083,35,4
491,35,1
5942,35,2
7385,35,3
4347,35,3
7200,35,3
3732,35,3
3194,36,4
4926,36,4
7954,36,3
6548,36,5
901,36,2
762,36,5
6420,36,2
1478,36,4
3004,36,3
5869,36,3
133,36,4
9302,36,3
893,36,4
1713,36,5
9316,36,3
4236,36,3
9323,36,4
1955,37,3
4410,37,1
4988,37,3
5613,37,2
8274,37,4
3090,37,3
5521,37,3
8567,37,4
3698,37,1
1257,37,2
3031,37,3
4483,37,3
6363,37,3
2698,37,1
4391,37,2
9343,37,4
1053,37,2
5011,37,2
7292,37,3
9857,37,2
803,38,4
8549,38,2
269,38,2
3553,38,2
4541,38,4
6646,38,5
9954,38,2
8572,38,3
1930,38,4
2964,38,5
9178,38,4
433,38,4
3765,38,2
4022,38,1
9598,38,3
9654,38,3
991,38,3
8178,38,1
